household_ID,TotWatageAC
ID0012,1500
ID0014,0
ID0018,2000
ID0025,0
ID0039,0
ID0041,0
ID0043,0
ID0054,0
ID0066,0
ID0069,7000
ID0072,250
ID0077,0
ID0079,0
ID0081,0
ID0083,0
ID0093,0
ID0103,0
ID0104,18000
ID0107,0
ID0113,0
ID0114,0
ID0115,0
ID0127,0
ID0128,0
ID0129,0
ID0134,0
ID0135,0
ID0149,0
ID0152,0
ID0154,0
ID0161,0
ID0174,0
ID0177,0
ID0182,0
ID0183,0
ID0185,0
ID0189,0
ID0191,0
ID0198,55
ID0201,0
ID0203,1500
ID0210,0
ID0230,0
ID0233,0
ID0234,0
ID0246,0
ID0247,68
ID0249,0
ID0250,0
ID0254,0
ID0255,0
ID0257,0
ID0258,980
ID0260,0
ID0264,18
ID0269,0
ID0276,0
ID0278,0
ID0280,3000
ID0282,0
ID0294,0
ID0296,0
ID0307,0
ID0321,9000
ID0345,0
ID0348,84000
ID0356,0
ID0371,0
ID0376,0
ID0392,0
ID0395,0
ID0406,60
ID0416,0
ID0417,0
ID0423,0
ID0445,0
ID0446,0
ID0457,0
ID0470,2700
ID0509,0
ID0510,12
ID0517,1800
ID0528,0
ID0531,0
ID0533,0
ID0543,42000
ID0544,0
ID0545,0
ID0546,2000
ID0549,0
ID0554,0
ID0555,1
ID0558,0
ID0568,0
ID0571,12
ID0576,0
ID0580,0
ID0600,3060
ID0610,0
ID0611,1
ID0613,0
ID0618,0
ID0630,24
ID0632,0
ID0661,0
ID0671,0
ID0686,0
ID0693,18
ID0694,24
ID0698,0
ID0709,2
ID0713,0
ID0731,0
ID0733,0
ID0741,36
ID0744,0
ID0746,12
ID0751,0
ID0757,0
ID0761,0
ID0769,0
ID0772,0
ID0774,0
ID0775,32
ID0779,0
ID0796,12000
ID0797,0
ID0798,0
ID0800,0
ID0803,12
ID0806,0
ID0810,0
ID0814,0
ID0823,0
ID0833,0
ID0834,0
ID0840,0
ID0841,0
ID0846,0
ID0864,200
ID0879,0
ID0887,0
ID0897,0
ID0899,0
ID0907,0
ID0908,0
ID0931,12
ID0932,0
ID0938,650
ID0954,0
ID0957,0
ID0965,0
ID0980,0
ID0983,0
ID0986,0
ID0987,3780
ID1009,0
ID1028,1800
ID1044,0
ID1048,0
ID1051,0
ID1054,56
ID1078,938
ID1084,0
ID1094,0
ID1101,21
ID1112,9000
ID1114,0
ID1132,0
ID1142,0
ID1165,0
ID1176,0
ID1184,0
ID1189,12
ID1191,1080
ID1204,0
ID1214,0
ID1216,0
ID1227,0
ID1240,0
ID1249,0
ID1277,0
ID1282,6000
ID1287,0
ID1307,0
ID1335,54
ID1346,0
ID1370,3000
ID1377,0
ID1378,0
ID1392,24
ID1400,0
ID1406,0
ID1407,0
ID1415,0
ID1420,2000
ID1429,0
ID1438,0
ID1454,0
ID1458,0
ID1472,0
ID1480,0
ID1484,0
ID1521,120
ID1541,0
ID1559,900
ID1581,39
ID1583,0
ID1588,0
ID1600,0
ID1603,50
ID1604,0
ID1605,20
ID1613,30
ID1622,0
ID1630,0
ID1642,0
ID1646,0
ID1657,0
ID1658,0
ID1666,0
ID1669,0
ID1676,0
ID1678,0
ID1679,12
ID1681,0
ID1683,0
ID1684,54
ID1686,0
ID1705,0
ID1708,0
ID1718,44
ID1722,5
ID1725,0
ID1743,0
ID1747,0
ID1753,0
ID1762,0
ID1764,0
ID1770,0
ID1771,12
ID1773,0
ID1778,0
ID1790,0
ID1791,230
ID1797,25
ID1799,0
ID1809,0
ID1816,0
ID1818,66
ID1836,20
ID1848,0
ID1849,0
ID1857,0
ID1858,0
ID1873,0
ID1880,0
ID1881,0
ID1895,0
ID1914,0
ID1942,18
ID1945,0
ID1950,60
ID1956,0
ID1965,36000
ID1969,0
ID1978,0
ID1986,0
ID1992,0
ID2008,0
ID2011,12
ID2017,0
ID2023,0
ID2027,0
ID2042,0
ID2047,12
ID2052,0
ID2057,999
ID2058,0
ID2072,1265
ID2076,16000
ID2077,0
ID2080,0
ID2081,0
ID2095,0
ID2127,0
ID2137,0
ID2140,0
ID2149,0
ID2153,9000
ID2161,0
ID2163,25
ID2167,0
ID2175,0
ID2179,12
ID2184,0
ID2187,0
ID2194,0
ID2198,0
ID2209,440
ID2215,0
ID2217,0
ID2218,0
ID2220,45
ID2221,0
ID2223,0
ID2226,0
ID2229,5500
ID2230,9000
ID2237,9000
ID2246,0
ID2248,0
ID2249,12
ID2251,0
ID2256,0
ID2262,0
ID2270,0
ID2278,1500
ID2293,90
ID2312,15
ID2313,0
ID2317,12000
ID2323,0
ID2335,0
ID2338,24000
ID2350,0
ID2363,0
ID2366,12
ID2377,0
ID2388,0
ID2391,0
ID2416,0
ID2418,0
ID2420,0
ID2425,45
ID2439,0
ID2448,0
ID2450,36000
ID2470,5
ID2472,0
ID2480,12000
ID2486,9000
ID2494,0
ID2503,0
ID2522,0
ID2526,2200
ID2533,0
ID2534,0
ID2553,0
ID2559,0
ID2568,12
ID2584,0
ID2588,0
ID2596,0
ID2597,0
ID2606,0
ID2614,0
ID2620,0
ID2621,0
ID2622,0
ID2632,15
ID2650,0
ID2660,25500
ID2681,0
ID2696,0
ID2699,0
ID2718,12000
ID2726,50
ID2735,9000
ID2746,0
ID2759,9000
ID2766,0
ID2770,0
ID2774,0
ID2778,3600
ID2780,0
ID2781,1200
