household_ID,Consumption,boiling_factor,NoOfHoursStay,no_of_household_members,SumOfAppliances,TotWatageAC,Unnamed: 7,Predicted_Consumption,Deviation,Efficiency
ID2526,25.92249907,0,421.0,4,199.0,2200.0,,47.341507,21.419007888007812,Inefficient
ID3714,20.76121697,0,712.0,5,34.5,0.0,,33.16555,12.404333261933594,Inefficient
ID3365,19.19757336,0,240.0,2,4.0,18.0,,12.7097435,6.48782986024414,Efficient
ID0437,27.03035383,0,892.0,6,35.0,0.0,,42.445522,15.41516847834961,Inefficient
ID3492,20.49254844,0,586.0,4,81.5,2.4,,37.237217,16.74466850946289,Inefficient
ID3658,23.39566375,0,384.0,3,207.0,130.0,,49.244263,25.8485989453125,Inefficient
ID0991,14.01303357,0,602.0,4,22.0,0.0,,26.34506,12.332026778510743,Inefficient
ID1768,59.24155705,0,746.0,7,320.0,13.6,,50.57551,8.666048932324216,Efficient
ID2465,24.81919274,0,372.0,3,49.5,58.0,,22.613174,2.206018301523436,Efficient
ID1963,27.86548837,0,168.0,1,97.16,0.0,,21.11246,6.7530291872607435,Efficient
ID3497,19.36659765,0,386.0,3,184.5,0.0,,48.018787,28.652189734033204,Inefficient
ID1179,7.045763316,0,624.0,4,1.16,0.0,,24.354862,17.309098897134767,Inefficient
ID2910,23.84332494,0,550.75,4,247.08,400.0,,50.426895,26.583570201601564,Inefficient
ID3206,23.79861423,0,699.0,6,183.8,7.4,,50.344498,26.545883450664064,Inefficient
ID3434,23.36858168,0,804.5,7,7.81,10.0,,33.646355,10.27777299529297,Inefficient
